,TrackP,TrackPt
Ghost,0.00370655028763,0.00647970266537
Electron,0.00774978575405,0.0217558532213
Muon,0.0264887678361,0.0359621612178
Pion,0.0201843323812,0.0134911683217
Kaon,0.0427599463627,0.0323282412556
Proton,0.0370284327929,0.0437614005629
