,Ghost,Electron,Muon,Pion,Kaon,Proton
Ghost,1.0,0.915852325303,0.964094057033,0.934314344092,0.96592626814,0.961847585047
Electron,0.955940260826,1.0,0.995573816601,0.988797332556,0.993490781202,0.993675465724
Muon,0.978055924258,0.992663059191,1.0,0.976321492924,0.98654813107,0.988460880999
Pion,0.924858471593,0.934822079619,0.957767231296,1.0,0.927686983167,0.927861559372
Kaon,0.961089753302,0.964114098809,0.975033216153,0.929758753895,1.0,0.743868586037
Proton,0.955808976905,0.978611899099,0.980112050791,0.92945354962,0.745027341128,1.0
