,Particle,Electron,Proton,Pion,Muon,Kaon,Ghost
0,Electron,1.0,0.983401055618,0.980666178897,0.994732785829,0.987262326192,0.95181073956
1,Proton,0.983401057065,1.0,0.944491386541,0.978703130183,0.762774996367,0.974781174403
2,Pion,0.980666164341,0.944491387038,1.0,0.948315578673,0.950826170091,0.961637347542
3,Muon,0.994732785829,0.978703130001,0.948315578334,1.0,0.982659992458,0.982510643011
4,Kaon,0.987262328012,0.762774995005,0.950826169816,0.982659992001,1.0,0.977579892575
5,Ghost,0.951810737544,0.974781174562,0.961637347411,0.982510642758,0.977579892808,1.0
