,Particle,TrackP,TrackPt,P_Conf_level,Pt_Conf_level
0,Electron,0.0173683539471,0.0363584437813,0.00101432750573,0.00100408015828
1,Proton,0.0326742454922,0.0466190313639,0.000885992918634,0.000887993990782
2,Pion,0.0313939522394,0.0190026939723,0.000852861652655,0.000851130581413
3,Muon,0.0344793223153,0.0538129015226,0.000905191255945,0.000906080443446
4,Kaon,0.0338867463913,0.03609858598,0.0008722503323,0.000879775205332
5,Ghost,0.0063763770044,0.0181892655578,0.00087057117103,0.000870056414748
