,Particle,TrackP,TrackPt,P_Conf_level,Pt_Conf_level
0,Electron,0.00654614195331,0.0165791344813,0.00101432750573,0.00100408015828
1,Proton,0.0346319879963,0.0445712899958,0.000885992918634,0.000887993990782
2,Pion,0.016511965841,0.0137287240783,0.000852861652655,0.000851130581413
3,Muon,0.0203878709276,0.0449910926753,0.000905191255945,0.000906080443446
4,Kaon,0.0430736083642,0.0366571487936,0.0008722503323,0.000879775205332
5,Ghost,0.00659077463487,0.0141872778536,0.00087057117103,0.000870056414748
