,Class,TrackP,TrackPt,P_Conf_level,Pt_Conf_level
0,Ghost,0.00509266892437,0.0155478116449,0.000871467244223,0.000859400469741
1,Electron,0.00881577915278,0.032592283301,0.000965080390467,0.000999379989626
2,Muon,0.0335734115675,0.049292939485,0.000911902126433,0.000911239714252
3,Pion,0.0183385981463,0.0156180094328,0.000852557467897,0.000851446845449
4,Kaon,0.0487535064564,0.033351576788,0.000873937404979,0.000874713886635
5,Proton,0.0386534602268,0.0471102645846,0.000903390231538,0.000893424185655
