,Class,Ghost,Electron,Muon,Pion,Kaon,Proton
0,Ghost,1.0,1.01713327092,1.00358848886,1.00530196691,1.00467977105,1.00466313989
1,Electron,1.01713391444,1.0,1.00272417824,1.01770141345,1.01188893592,1.01139326939
2,Muon,1.00358848648,1.00272085799,1.0,1.0051433398,1.00310466853,1.00273886912
3,Pion,1.00530196713,1.01736784911,1.00511760491,1.0,1.00370587278,1.0036765242
4,Kaon,1.00467977098,1.01192212664,1.00310462017,1.00370596357,1.0,1.00643669938
5,Proton,1.00466314043,1.01138886622,1.00273895545,1.00367548168,1.00643669755,1.0
