,Ghost,Electron,Muon,Pion,Kaon,Proton
Ghost,1.0,1.0191760337,1.00330639402,1.00747302139,1.00682715939,1.00679675007
Electron,1.01917668672,1.0,1.00275943018,1.01794179907,1.01252377945,1.01194365339
Muon,1.00330639071,1.00275610982,1.0,1.00457495555,1.00291940339,1.00248430018
Pion,1.00747302183,1.01765640878,1.00454923342,1.0,1.00401627709,1.00390262513
Kaon,1.00682715885,1.01255699562,1.0029193899,1.00401623178,1.0,1.01511695256
Proton,1.00679674925,1.0119392346,1.00248438483,1.00390158064,1.01511695218,1.0
