,Ghost,Electron,Muon,Pion,Kaon,Proton
Ghost,,39.5604326481,41.1451701233,18.2439730628,29.3094862705,26.2286268434
Electron,39.5612309626,,76.1150807141,77.773362848,81.6030546069,80.3337237673
Muon,41.1451380766,76.0932452551,,36.3578217466,43.7939347168,44.699931044
Pion,18.2439739828,77.6651659356,36.2280458671,,8.51076576429,8.12318285546
Kaon,29.3094840642,81.6423183336,43.7940527291,8.51065268689,,5.591135235
Proton,26.2286237085,80.3278743603,44.7007580172,8.12119283492,5.59113511908,
