,Particle,TrackP,TrackPt
0,Electron,0.00654614195331,0.0165791344813
1,Proton,0.0346319879963,0.0445712899958
2,Pion,0.016511965841,0.0137287240783
3,Muon,0.0203878709276,0.0449910926753
4,Kaon,0.0430736083642,0.0366571487936
5,Ghost,0.00659077463487,0.0141872778536
