,Ghost,Electron,Muon,Pion,Kaon,Proton
Ghost,1.0,1.01791960102,1.00364303587,1.00605541281,1.00511633776,1.00542268038
Electron,1.01792025182,1.0,1.0027518676,1.01758024393,1.0118403218,1.01133674322
Muon,1.00364303391,1.00274854726,1.0,1.00496672405,1.00297340663,1.00265972471
Pion,1.00605541331,1.01724671884,1.00494099369,1.0,1.00303355449,1.00292368892
Kaon,1.00511633752,1.01187351,1.00297335828,1.00303364498,1.0,1.00559144064
Proton,1.00542268038,1.0113323403,1.00265981121,1.00292264722,1.00559143808,1.0
