,Class,TrackP,TrackPt,P_Conf_level,Pt_Conf_level
0,Ghost,0.0106462669734,0.0324377338509,0.000872741940172,0.00087331887507
1,Electron,0.0173515338464,0.0311440746177,0.00102143888325,0.00101450248703
2,Muon,0.0326030633687,0.0447952007448,0.0008972967311,0.000905237936682
3,Pion,0.0249985786589,0.0153891795886,0.000851537191635,0.000849466689087
4,Kaon,0.0373974085756,0.0338737790154,0.000876678101073,0.000872124527332
5,Proton,0.0343824398723,0.0382362235699,0.000890145513669,0.000887443822224
