,Ghost,Electron,Muon,Pion,Kaon,Proton
Ghost,1.0,0.972654266654,0.995250212668,0.968175008661,0.984135469634,0.981851306865
Electron,0.972654286756,1.0,0.999129830821,0.9951483593,0.997108435372,0.997156477439
Muon,0.995250143495,0.999129830821,1.0,0.992753042894,0.996410057289,0.99722775201
Pion,0.968175008803,0.995146839797,0.992753043573,1.0,0.958590810084,0.957795413006
Kaon,0.984135469468,0.997108845826,0.996410322348,0.958591079195,1.0,0.805083014061
Proton,0.981851306601,0.997156633747,0.997227752555,0.957795403773,0.805083014132,1.0
