,Ghost,Electron,Muon,Pion,Kaon,Proton
Ghost,1.0,1.01980152488,1.00324789662,1.00783299627,1.00705927528,1.00729449116
Electron,1.01980215793,1.0,1.00275201579,1.01810421748,1.01241166915,1.01198190594
Muon,1.00324796456,1.00274869545,1.0,1.00524499395,1.0030526204,1.00277007225
Pion,1.00783299647,1.01777207486,1.00521925576,1.0,1.0038275185,1.00381082008
Kaon,1.00705927534,1.01244446025,1.00305230499,1.00382732736,1.0,1.02275619175
Proton,1.00729449143,1.01197734157,1.00277015803,1.00380978695,1.02275619072,1.0
