,Ghost,Electron,Muon,Pion,Kaon,Proton
Ghost,,40.8508299221,40.4172212303,19.1227838794,30.3059764463,28.149407387
Electron,40.8515691306,,75.9105648872,78.477407401,80.8725608283,80.5910126813
Muon,40.4180757493,75.888542461,,41.6827120705,45.7923215032,49.8418185094
Pion,19.1227841939,78.1739457934,41.5638020542,,8.11077340729,7.93209374502
Kaon,30.3059768693,80.9106426696,45.7879249101,8.11035211513,,8.41657371062
Proton,28.1494084319,80.5842602911,49.8425855692,7.93012303563,8.4165733684,
